id,tool,configuration,target,%consistent_result,distribution
1,amandroid,116dcfbc705e50820a01593288f9424f,com.angrydoughnuts.android.alarmclock,0.8,2
1,amandroid,b8b8f599206ffee9059479531a3b6287,uk.co.yahoo.p1rpp.calendartrigger,0,2
1,amandroid,a4209cb5a70c5363bc7f75bd4f586076,com.angrydoughnuts.android.alarmclock,0.8,2
1,amandroid,4672fe4d54a5ee15f1ee35f59479e55c,com.angrydoughnuts.android.alarmclock,0.8,3
2,amandroid-nondex,b8b8f599206ffee9059479531a3b6287,org.jak,0.3043478261,6
2,amandroid-nondex,a4209cb5a70c5363bc7f75bd4f586076,protect.budgetwatch,0.2857142857,2
2,amandroid-nondex,0b14c72cdff3ab81a153d6b095699e26,com.angrydoughnuts.android.alarmclock,0.8,2
2,amandroid-nondex,b8b8f599206ffee9059479531a3b6287,protect.budgetwatch,0.2857142857,2
2,amandroid-nondex,6510e2a6fe6777759abec7b257668533,net.khertan.forrunners,0.5,2
2,amandroid-nondex,116dcfbc705e50820a01593288f9424f,uk.co.yahoo.p1rpp.calendartrigger,0.8,2
2,amandroid-nondex,0b14c72cdff3ab81a153d6b095699e26,uk.co.yahoo.p1rpp.calendartrigger,0.6,3
2,amandroid-nondex,a4209cb5a70c5363bc7f75bd4f586076,org.jak,0.3255813953,5
3,infer,935b8bda3c9cf07eec0536f6093b3442,openssl,0.9963814939,2
3,infer,2602d35f8886ead93cd9c14b043d8c42,openssl,0.999742666,2
3,infer,9ac9bd572de91ade1e393ee378198993,openssl,0.9923136049,5
3,infer,2898272de7a2600510f25ebbec21688a,openssl,0.9899432697,5
3,infer,62bd23a9f5f1c1ea3f2c5cdc8139824b,openssl,0.9958709677,2
3,infer,58c476e384478fef38f8e2729c5a2261,openssl,0.9994855967,4
3,infer,8cebaa9715a54745a437dfc636a50653,openssl,0.9997425997,2
3,infer,e3482f3a5ab78e13d147fb3e20057e18,openssl,0.9997412008,2
3,infer,5b4008f6de260bfe66284f98c26fc6e4,openssl,0.996659815,5
3,infer,8ed854389533b680c51ad0424fa84806,openssl,0.9945750452,4
3,infer,3dbbc7f62b0c3c72c83d67b10c9e9420,openssl,0.9994828032,2
3,infer,4502287e1ef198a3f37f883087c04275,openssl,0.9994858612,2
3,infer,b4abef33914ef6cd460654ff3cd814e8,openssl,0.9981954112,3
3,infer,935b8bda3c9cf07eec0536f6093b3442,sqlite,0.9856115108,3
3,infer,8ed854389533b680c51ad0424fa84806,sqlite,0.9928057554,2
3,infer,2898272de7a2600510f25ebbec21688a,sqlite,0.9856115108,3
4,flowdroid,c3691c8c978c193be0f76b3dca548a6f,AnonymousClass1.apk,0,2
4,flowdroid,12640df7ab55e01ea3efcc752406dbd5,BroadcastReceiverLifecycle2.apk,0.5,2
4,flowdroid,60b5f6e8fc01a15b992da562324195ab,JavaThread2.apk,0,2
4,flowdroid,4dde2fedc1162d565f1a9db9d69d5e8d,StringToOutputStream1.apk,0,2
4,flowdroid,7b5480bdb06b2ff39ebfb2bcedd2f657,JavaThread2.apk,0,2
4,flowdroid,c3691c8c978c193be0f76b3dca548a6f,org.zamedev.gloomydungeons2.opensource,0,2
4,flowdroid,3e08bc7711e3a5e63a963192df9c8993,org.afhdownloader,0.5,2
4,flowdroid,918d026f316f05a94cb0aa2e1b4d1e1c,nya.miku.wishmaster,0.6666666667,2
4,flowdroid,61db1a6e875f7aa49112390245c397fb,org.fdroid.fdroid,0.52,5
4,flowdroid,12640df7ab55e01ea3efcc752406dbd5,org.zamedev.gloomydungeons2.opensource,0.7,3
4,flowdroid,f2b8b5d1e14f9d87752c7f640606a7c2,org.schabi.newpipe,0,2
4,flowdroid,c3691c8c978c193be0f76b3dca548a6f,ar.rulosoft.mimanganu,0.3333333333,3
4,flowdroid,c3691c8c978c193be0f76b3dca548a6f,org.fdroid.fdroid,0.7586206897,4
4,flowdroid,918d026f316f05a94cb0aa2e1b4d1e1c,org.jfedor.frozenbubble,0.5,2
4,flowdroid,9d38717e4c77e61fa7366382d360e839,com.angrydoughnuts.android.alarmclock,0,2
4,flowdroid,61db1a6e875f7aa49112390245c397fb,com.angrydoughnuts.android.alarmclock,0.7272727273,3
4,flowdroid,61db1a6e875f7aa49112390245c397fb,ar.rulosoft.mimanganu,0.8333333333,2
4,flowdroid,79decd8cd5fc212f57aa924f0d23e76f,ar.rulosoft.mimanganu,0.5,3
