optimize,phase_cg.spark_vta,phase_cg.spark_rta,phase_cg.spark_field-based,phase_cg.spark_merge-stringbuffer,phase_cg.spark_string-constants,phase_cg.spark_simulate-natives,phase_cg.spark_empties-as-allocs,phase_cg.spark_simple-edges-bidirectional,phase_cg.spark_simplify-offline,phase_cg.spark_simplify-sccs,phase_cg.spark_ignore-types-for-sccs,phase_cg.spark_cs-demand,phase_cg.spark_lazy-pts,phase_cg_safe-forname,phase_cg_safe-newinstance,phase_cg_implicit-entry,phase_cg_trim-clinit,phase_cg.spark_types-for-sites,phase_cg.spark_set-impl,phase_cg.spark_double-set-old,phase_cg.spark_double-set-new,jasmin-backend,phase_cg.cha_enabled,phase_cg_types-for-invoke,phase_cg_resolve-all-abstract-invokes,phase_cg.spark_pre-jimplify,phase_cg.spark_propagator,phase_cg.spark_on-fly-cg
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,double,array,bit,false,false,false,false,false,worklist,false
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,double,hybrid,hash,true,true,true,true,true,cycle,true
false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,double,bit,hybrid,true,false,true,false,true,merge,false
true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,double,hash,array,false,true,false,true,false,alias,true
false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,double,sharedlist,sharedlist,false,false,true,true,false,iter,false
true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,bit,hybrid,hybrid,true,true,false,false,true,worklist,true
false,true,true,false,false,false,false,false,false,true,true,false,true,false,false,true,false,true,true,bit,bit,array,false,true,false,false,true,cycle,false
true,false,false,true,true,true,true,true,false,false,false,false,false,true,true,false,true,false,false,bit,hash,sharedlist,true,false,true,true,false,merge,true
true,true,false,true,false,true,false,true,true,true,true,true,true,false,false,true,false,false,false,bit,sharedlist,bit,false,false,true,true,true,alias,true
true,false,false,true,true,false,false,false,true,false,false,true,false,true,true,false,true,true,true,bit,array,hash,true,true,false,false,true,iter,false
true,true,true,false,true,true,true,true,true,false,true,true,true,false,false,true,false,false,false,hash,bit,sharedlist,true,true,false,true,false,worklist,true
false,false,false,true,false,false,false,false,false,true,false,false,false,true,true,false,true,true,true,hash,hash,bit,false,false,true,false,true,cycle,false
false,false,true,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,hash,sharedlist,hash,false,true,false,false,false,merge,true
false,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,hash,array,hybrid,true,false,true,true,false,alias,false
false,true,false,true,false,true,false,true,false,true,false,true,false,false,false,false,false,false,false,hash,hybrid,array,false,false,true,false,false,iter,true
true,true,true,false,false,false,true,false,false,true,true,true,true,true,true,true,false,true,true,hybrid,hash,hash,true,false,true,false,true,worklist,false
false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,true,false,false,hybrid,sharedlist,hybrid,false,true,false,true,false,cycle,true
false,true,true,true,false,false,false,false,true,false,true,true,true,true,true,true,true,true,true,hybrid,array,array,true,true,false,true,true,merge,true
false,true,false,false,false,false,false,false,true,true,false,false,false,true,true,true,false,false,false,hybrid,hybrid,sharedlist,false,true,false,false,true,alias,false
false,false,true,false,true,false,true,false,false,true,false,true,true,false,true,true,true,false,false,hybrid,bit,bit,true,true,false,true,false,iter,true
true,true,false,true,false,true,true,true,true,true,true,true,false,false,false,false,true,true,false,sharedlist,sharedlist,array,true,false,false,true,false,worklist,false
false,false,true,false,true,false,false,false,false,false,false,false,true,true,true,true,false,false,true,sharedlist,array,sharedlist,false,true,true,false,true,cycle,true
true,false,true,false,false,false,true,true,true,true,true,true,false,true,false,true,false,true,false,sharedlist,hybrid,bit,false,false,false,false,false,merge,false
false,true,true,true,true,true,false,true,true,true,false,true,false,false,false,false,false,true,true,sharedlist,bit,hash,false,true,false,false,true,alias,false
true,false,false,true,false,false,false,false,true,false,true,true,true,false,false,true,false,false,false,sharedlist,hash,hybrid,true,false,false,true,true,iter,true
true,true,false,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,false,heintze,sharedlist,array,false,false,false,true,false,worklist,false
false,false,true,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,heintze,array,sharedlist,true,true,true,false,true,cycle,true
true,false,true,false,false,false,false,false,false,true,true,true,false,true,true,true,true,true,true,heintze,hybrid,bit,false,true,false,true,false,merge,false
false,false,true,true,true,false,false,false,true,true,true,true,true,false,true,false,false,false,true,heintze,bit,hash,false,true,false,false,true,alias,false
true,true,false,false,false,false,false,false,true,true,false,false,true,true,true,false,true,false,true,heintze,hash,hybrid,true,true,true,false,false,iter,true
