reflectionSetting,handleStaticInit,useConstantSpecificKeys,cgalgo,sensitivity,handleZeroLengthArray,useLexicalScopingForGlobals,useStacksForLexicalScoping
FULL,false,false,NCFA,15,false,false,false
FULL,true,true,NOBJ,1,true,true,true
FULL,false,true,VANILLA_NOBJ,10,false,true,false
FULL,true,false,RTA,15,true,false,true
FULL,false,false,ZERO_CFA,1,false,true,true
FULL,true,false,ZEROONE_CFA,10,true,false,false
FULL,false,true,VANILLA_ZEROONECFA,15,true,true,true
FULL,false,true,ZEROONE_CONTAINER_CFA,1,false,false,false
FULL,true,false,VANILLA_ZEROONE_CONTAINER_CFA,10,false,true,true
FULL,true,true,ZERO_CONTAINER_CFA,15,true,false,false
APPLICATION_GET_METHOD,false,true,NCFA,1,true,true,true
APPLICATION_GET_METHOD,false,false,NOBJ,15,false,false,false
APPLICATION_GET_METHOD,false,false,VANILLA_NOBJ,10,true,false,true
APPLICATION_GET_METHOD,false,true,RTA,1,false,true,false
APPLICATION_GET_METHOD,false,true,ZERO_CFA,10,true,false,false
APPLICATION_GET_METHOD,false,true,ZEROONE_CFA,15,false,true,true
APPLICATION_GET_METHOD,false,false,VANILLA_ZEROONECFA,1,false,false,false
APPLICATION_GET_METHOD,false,false,ZEROONE_CONTAINER_CFA,10,true,true,true
APPLICATION_GET_METHOD,false,true,VANILLA_ZEROONE_CONTAINER_CFA,15,true,false,false
APPLICATION_GET_METHOD,false,false,ZERO_CONTAINER_CFA,1,false,true,true
NO_FLOW_TO_CASTS,true,true,NCFA,15,true,false,false
NO_FLOW_TO_CASTS,false,false,NOBJ,1,false,true,true
NO_FLOW_TO_CASTS,true,true,VANILLA_NOBJ,10,false,true,false
NO_FLOW_TO_CASTS,false,true,RTA,10,true,true,false
NO_FLOW_TO_CASTS,true,false,ZERO_CFA,15,false,false,true
NO_FLOW_TO_CASTS,false,true,ZEROONE_CFA,1,true,true,true
NO_FLOW_TO_CASTS,true,true,VANILLA_ZEROONECFA,10,true,false,true
NO_FLOW_TO_CASTS,false,true,ZEROONE_CONTAINER_CFA,15,false,false,true
NO_FLOW_TO_CASTS,true,false,VANILLA_ZEROONE_CONTAINER_CFA,1,true,true,true
NO_FLOW_TO_CASTS,false,false,ZERO_CONTAINER_CFA,10,false,false,true
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,true,NCFA,15,true,false,false
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,false,NOBJ,1,false,true,true
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,false,VANILLA_NOBJ,10,false,false,false
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,false,RTA,10,true,false,false
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,ZERO_CFA,1,false,true,true
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,false,ZEROONE_CFA,15,false,false,true
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,true,VANILLA_ZEROONECFA,10,true,true,false
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,ZEROONE_CONTAINER_CFA,15,false,true,false
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,false,VANILLA_ZEROONE_CONTAINER_CFA,10,false,false,false
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,true,ZERO_CONTAINER_CFA,1,true,true,true
NO_METHOD_INVOKE,true,true,NCFA,15,true,false,false
NO_METHOD_INVOKE,false,false,NOBJ,1,false,true,true
NO_METHOD_INVOKE,false,true,VANILLA_NOBJ,10,true,true,false
NO_METHOD_INVOKE,false,false,RTA,10,false,false,true
NO_METHOD_INVOKE,false,true,ZERO_CFA,1,false,false,true
NO_METHOD_INVOKE,true,false,ZEROONE_CFA,1,false,true,false
NO_METHOD_INVOKE,false,true,VANILLA_ZEROONECFA,10,false,true,true
NO_METHOD_INVOKE,false,true,ZEROONE_CONTAINER_CFA,1,false,false,false
NO_METHOD_INVOKE,false,false,VANILLA_ZEROONE_CONTAINER_CFA,15,true,true,true
NO_METHOD_INVOKE,false,true,ZERO_CONTAINER_CFA,15,false,false,false
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,true,NCFA,15,true,false,false
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,NOBJ,1,false,true,true
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,VANILLA_NOBJ,10,false,true,true
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,RTA,15,true,true,true
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,ZERO_CFA,15,true,false,true
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,ZEROONE_CFA,15,false,true,true
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,VANILLA_ZEROONECFA,15,false,true,true
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,ZEROONE_CONTAINER_CFA,15,true,false,false
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,VANILLA_ZEROONE_CONTAINER_CFA,1,true,false,false
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,ZERO_CONTAINER_CFA,10,true,false,false
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,true,NCFA,15,true,false,false
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,NOBJ,1,false,true,true
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,VANILLA_NOBJ,10,false,false,true
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,RTA,1,true,true,true
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,ZERO_CFA,15,true,true,true
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,ZEROONE_CFA,1,true,true,true
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,VANILLA_ZEROONECFA,15,false,false,false
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,ZEROONE_CONTAINER_CFA,1,true,true,false
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,VANILLA_ZEROONE_CONTAINER_CFA,15,true,false,true
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,ZERO_CONTAINER_CFA,1,true,true,true
ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,NCFA,15,true,false,false
ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,false,NOBJ,1,false,true,true
ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,false,VANILLA_NOBJ,10,true,true,false
